AOU,English_Common_Name,ConsolAOU,ProblemTaxa
3840,Groove-billed Ani,3840,FALSE
4830,Green Jay,4830,FALSE
3180,White-tipped Dove,3180,FALSE
4390,Buff-bellied Hummingbird,4390,FALSE
5031,Altamira Oriole,5031,FALSE
4462,unid. Tropical Kingbird / Couch's Kingbird,4462,TRUE
5030,Audubon's Oriole,5030,FALSE
3130,Red-billed Pigeon,3130,FALSE
6490,Tropical Parula,6490,FALSE
6660,Golden-cheeked Warbler,6660,FALSE
4370,Lucifer Hummingbird,4370,FALSE
5261,European Goldfinch,5261,FALSE
5250,Black Rosy-Finch,5250,FALSE
